bin_id,Q2_min,Q2_max,x_min,x_max,phperp_km_min,phperp_km_max,z_km_min,z_km_max
0,0.00000000,5.00000000,0.00000000,0.20260000,0.00000000,0.40000000,0.00000000,0.25000000
1,0.00000000,5.00000000,0.00000000,0.20260000,0.00000000,0.40000000,0.25000000,1.00000000
2,0.00000000,5.00000000,0.00000000,0.20260000,0.40000000,0.70000000,0.00000000,0.25000000
3,0.00000000,5.00000000,0.00000000,0.20260000,0.40000000,0.70000000,0.25000000,1.00000000
4,0.00000000,5.00000000,0.00000000,0.20260000,0.70000000,1.75500000,0.00000000,0.25000000
5,0.00000000,5.00000000,0.00000000,0.20260000,0.70000000,1.75500000,0.25000000,1.00000000
6,0.00000000,5.00000000,0.20260000,0.27790000,0.00000000,0.40000000,0.00000000,0.25000000
7,0.00000000,5.00000000,0.20260000,0.27790000,0.00000000,0.40000000,0.25000000,1.00000000
8,0.00000000,5.00000000,0.20260000,0.27790000,0.40000000,0.70000000,0.00000000,0.25000000
9,0.00000000,5.00000000,0.20260000,0.27790000,0.40000000,0.70000000,0.25000000,1.00000000
10,0.00000000,5.00000000,0.20260000,0.27790000,0.70000000,1.75500000,0.00000000,0.25000000
11,0.00000000,5.00000000,0.20260000,0.27790000,0.70000000,1.75500000,0.25000000,1.00000000
12,0.00000000,5.00000000,0.27790000,1.00000000,0.00000000,0.40000000,0.00000000,0.25000000
13,0.00000000,5.00000000,0.27790000,1.00000000,0.00000000,0.40000000,0.25000000,1.00000000
14,0.00000000,5.00000000,0.27790000,1.00000000,0.40000000,0.70000000,0.00000000,0.25000000
15,0.00000000,5.00000000,0.27790000,1.00000000,0.40000000,0.70000000,0.25000000,1.00000000
16,0.00000000,5.00000000,0.27790000,1.00000000,0.70000000,1.75500000,0.00000000,0.25000000
17,0.00000000,5.00000000,0.27790000,1.00000000,0.70000000,1.75500000,0.25000000,1.00000000
18,5.00000000,8.00000000,0.00000000,0.27790000,0.00000000,0.40000000,0.00000000,0.25000000
19,5.00000000,8.00000000,0.00000000,0.27790000,0.00000000,0.40000000,0.25000000,1.00000000
20,5.00000000,8.00000000,0.00000000,0.27790000,0.40000000,0.70000000,0.00000000,0.25000000
21,5.00000000,8.00000000,0.00000000,0.27790000,0.40000000,0.70000000,0.25000000,1.00000000
22,5.00000000,8.00000000,0.00000000,0.27790000,0.70000000,1.75500000,0.00000000,0.25000000
23,5.00000000,8.00000000,0.00000000,0.27790000,0.70000000,1.75500000,0.25000000,1.00000000
24,5.00000000,8.00000000,0.27790000,0.37620000,0.00000000,0.40000000,0.00000000,0.25000000
25,5.00000000,8.00000000,0.27790000,0.37620000,0.00000000,0.40000000,0.25000000,1.00000000
26,5.00000000,8.00000000,0.27790000,0.37620000,0.40000000,0.70000000,0.00000000,0.25000000
27,5.00000000,8.00000000,0.27790000,0.37620000,0.40000000,0.70000000,0.25000000,1.00000000
28,5.00000000,8.00000000,0.27790000,0.37620000,0.70000000,1.75500000,0.00000000,0.25000000
29,5.00000000,8.00000000,0.27790000,0.37620000,0.70000000,1.75500000,0.25000000,1.00000000
30,5.00000000,8.00000000,0.37620000,1.00000000,0.00000000,0.40000000,0.00000000,0.25000000
31,5.00000000,8.00000000,0.37620000,1.00000000,0.00000000,0.40000000,0.25000000,1.00000000
32,5.00000000,8.00000000,0.37620000,1.00000000,0.40000000,0.70000000,0.00000000,0.25000000
33,5.00000000,8.00000000,0.37620000,1.00000000,0.40000000,0.70000000,0.25000000,1.00000000
34,5.00000000,8.00000000,0.37620000,1.00000000,0.70000000,1.75500000,0.00000000,0.25000000
35,5.00000000,8.00000000,0.37620000,1.00000000,0.70000000,1.75500000,0.25000000,1.00000000
36,8.00000000,22.00000000,0.00000000,0.45150000,0.00000000,0.40000000,0.00000000,0.25000000
37,8.00000000,22.00000000,0.00000000,0.45150000,0.00000000,0.40000000,0.25000000,1.00000000
38,8.00000000,22.00000000,0.00000000,0.45150000,0.40000000,0.70000000,0.00000000,0.25000000
39,8.00000000,22.00000000,0.00000000,0.45150000,0.40000000,0.70000000,0.25000000,1.00000000
40,8.00000000,22.00000000,0.00000000,0.45150000,0.70000000,1.75500000,0.00000000,0.25000000
41,8.00000000,22.00000000,0.00000000,0.45150000,0.70000000,1.75500000,0.25000000,1.00000000
42,8.00000000,22.00000000,0.45150000,1.00000000,0.00000000,0.40000000,0.00000000,0.25000000
43,8.00000000,22.00000000,0.45150000,1.00000000,0.00000000,0.40000000,0.25000000,1.00000000
44,8.00000000,22.00000000,0.45150000,1.00000000,0.40000000,0.70000000,0.00000000,0.25000000
45,8.00000000,22.00000000,0.45150000,1.00000000,0.40000000,0.70000000,0.25000000,1.00000000
46,8.00000000,22.00000000,0.45150000,1.00000000,0.70000000,1.75500000,0.00000000,0.25000000
47,8.00000000,22.00000000,0.45150000,1.00000000,0.70000000,1.75500000,0.25000000,1.00000000
